clean_sentence
પાકિસ્તાન ઘણા વર્ષો પછી ટૂર્નામેન્ટનું આયોજન કરી રહ્યું છે.
૧૯ ફેબ્રુઆરીથી શરૂ થયેલી આઈસીસી ચેમ્પિયન્સ ટ્રૉફીનું યજમાન પાકિસ્તાન છે, પરંતુ ટૂર્નામેન્ટની પહેલી સેમિફાઇનલ મેચ દુબઈમાં રમાશે.
જો ભારતીય ટીમ તેની સેમિફાઇનલ મેચ જીતી જાય તો ચેમ્પિયન્સ ટ્રૉફીની ફાઇનલ મેચ પણ માર્ચે દુબઈમાં રમાશે.
ચેમ્પિયન્સ ટ્રૉફીમાં ભારત તેની બધી મેચ દુબઈ ઇન્ટરનેશનલ સ્ટેડિયમમાં રમી રહ્યું છે.
એટલા માટે અહીં સેમિફાઇનલ મેચનું પણ આયોજન કરવામાં આવ્યું છે.
ભારત ફાઇનલમાં પ્રવેશ કરશે કે તરત જ ફાઇનલનો નિર્ણય પણ દુબઈમાં થશે.
યજમાન પાકિસ્તાન પહેલાથી જ ટૂર્નામેન્ટમાંથી બહાર થઈ ગયું છે.
વિશ્વ ક્રિકેટ પર ના વર્ચસ્વથી પાકિસ્તાનીઓ ખૂબ જ દુઃખી છે.
પાકિસ્તાનના ભૂતપૂર્વ કેપ્ટન ઇન્ઝમામઉલહકે તમામ દેશોના ક્રિકેટ બોર્ડને અપીલ કરી છે કે તેઓ તેમના ખેલાડીઓને માં ન મોકલે.
તમામ બૉર્ડ માં ના મોકલે પોતાના ખેલાડીઓઃ ઇન્ઝમામઉલહક ઇન્ઝમામઉલહકે એક ટીવી શોમાં કહ્યું, તમે ચેમ્પિયન્સ ટ્રૉફી બાજુ પર રાખી શકો છો પણ તમારે જોવી જોઈએ.
વિશ્વના બધા ટોચના ખેલાડીઓ માં આવે છે અને રમે છે.
ભારતીય ખેલાડીઓ અન્ય કોઈ લીગમાં જઈને રમતા નથી.
બધા બોર્ડે આવું કરવું જોઈએ અને તેમના ખેલાડીઓને માં મોકલવાનું બંધ કરવું જોઈએ.
જો તમે તમારા ખેલાડીઓને કોઈપણ લીગમાં જવા દેતા નથી, તો અન્ય બોર્ડે પણ વલણ અપનાવવું જોઈએ.
દુનિયાના બધા મોટા ક્રિકેટરો માં રમે છે.
ઘણી વખત વિદેશી ખેલાડીઓ રાષ્ટ્રીય મેચોને બદલે મેચોને પ્રાથમિકતા આપે છે.
ઉપરાંત, વિશ્વભરમાં ઘણી અન્ય લીગ રમાય છે.
પરંતુ તેના ખેલાડીઓને તે લીગમાં રમવા જવાની મંજૂરી આપતું નથી.
ભારતીય ખેલાડી નિવૃત્તિ પછી જ આઈપીએલમાંથી પણ કોઈપણ વિદેશી લીગમાં રમી શકે છે.
પાકિસ્તાનની વાત કરીએ તો, તેમના ખેલાડીઓ પર રમવા પર પ્રતિબંધ છે.
ટૂર્નામેન્ટની પહેલી આવૃત્તિમાં ઘણા પાકિસ્તાની ખેલાડીઓ રમ્યા હોવા છતાં, મુંબઈમાં થયેલા આતંકવાદી હુમલા પછી, પાકિસ્તાની ખેલાડીઓ પર માં રમવા પર પ્રતિબંધ મૂકવામાં આવ્યો હતો.
આ પણ વાંચો શું આજે ન્યૂઝીલેન્ડને હરાવી શકશે ભારત ?
જાણો બન્ને ટીમોનો હેડ ટૂ હેડ રેકોર્ડ
પાકિસ્તાન ઘણા વર્ષો પછી ટુર્નામેન્ટનું આયોજન કરી રહ્યું છે.
૧૯ ફેબ્રુઆરીથી શરૂ થયેલી આઈસીસી ચેમ્પિયન્સ ટ્રોફીનું યજમાન પાકિસ્તાન છે.
પરંતુ ટુર્નામેન્ટની પહેલી સેમિફાઇનલ મેચ દુબઈમાં રમાશે.
જો ભારતીય ટીમ તેની સેમિફાઇનલ મેચ જીતી જાય તો ચેમ્પિયન્સ ટ્રોફીની ફાઇનલ મેચ પણ માર્ચે દુબઈમાં રમાશે.
ચેમ્પિયન્સ ટ્રોફીમાં, ભારત તેની બધી મેચ દુબઈ ઇન્ટરનેશનલ સ્ટેડિયમમાં રમી રહ્યું છે.
એટલા માટે અહીં સેમિફાઇનલ મેચનું પણ આયોજન કરવામાં આવ્યું છે.
ભારત ફાઇનલમાં પ્રવેશ કરશે કે તરત જ ફાઇનલનો નિર્ણય પણ દુબઈમાં થશે.
યજમાન પાકિસ્તાન પહેલાથી જ ટુર્નામેન્ટમાંથી બહાર થઈ ગયું છે.
વિશ્વ ક્રિકેટ પર ના વર્ચસ્વથી પાકિસ્તાનીઓ ખૂબ જ દુઃખી છે.
પાકિસ્તાનના ભૂતપૂર્વ કેપ્ટન ઇન્ઝમામઉલહકે તમામ દેશોના ક્રિકેટ બોર્ડને અપીલ કરી છે કે તેઓ તેમના ખેલાડીઓને માં ન મોકલે.
